Date;home;visitor;hgoal;vgoal;division
30.08.2013;1860 Munchen;SV Sandhausen;0;2;2
30.08.2013;Arminia Bielefeld;Fortuna Dusseldorf;4;2;2
31.08.2013;1. FC Union Berlin;FC St. Pauli;3;2;2
31.08.2013;VfL Bochum;SC Paderborn 07;4;2;2
01.09.2013;1. FC Koln;Erzgebirge Aue;4;1;2
01.09.2013;Dynamo Dresden;FC Ingolstadt 04;1;1;2
01.09.2013;Karlsruher SC;VfR Aalen;1;1;2
02.09.2013;1. FC Kaiserslautern;Energie Cottbus;2;2;2
13.09.2013;VfR Aalen;1860 Munchen;0;0;2
13.09.2013;SC Paderborn 07;Karlsruher SC;1;0;2
13.09.2013;Erzgebirge Aue;Arminia Bielefeld;0;2;2
14.09.2013;FC St. Pauli;FSV Frankfurt;2;1;2
14.09.2013;SV Sandhausen;1. FC Kaiserslautern;1;0;2
15.09.2013;Fortuna Dusseldorf;Dynamo Dresden;1;1;2
15.09.2013;SpVgg Greuther Furth;VfL Bochum;0;2;2
15.09.2013;FC Ingolstadt 04;1. FC Union Berlin;0;1;2
16.09.2013;Energie Cottbus;1. FC Koln;0;4;2
20.09.2013;1. FC Koln;1. FC Kaiserslautern;0;0;2
20.09.2013;1. FC Union Berlin;SpVgg Greuther Furth;2;4;2
20.09.2013;Karlsruher SC;Energie Cottbus;2;0;2
21.09.2013;1860 Munchen;Erzgebirge Aue;3;1;2
21.09.2013;VfL Bochum;VfR Aalen;1;2;2
21.09.2013;Arminia Bielefeld;SV Sandhausen;2;1;2
22.09.2013;FSV Frankfurt;FC Ingolstadt 04;4;1;2
22.09.2013;Dynamo Dresden;SC Paderborn 07;2;2;2
23.09.2013;FC St. Pauli;Fortuna Dusseldorf;1;1;2
27.09.2013;Energie Cottbus;Arminia Bielefeld;4;2;2
27.09.2013;Erzgebirge Aue;Karlsruher SC;3;0;2
27.09.2013;VfR Aalen;1. FC Koln;0;1;2
28.09.2013;Fortuna Dusseldorf;FSV Frankfurt;0;0;2
28.09.2013;SC Paderborn 07;1. FC Union Berlin;0;3;2
29.09.2013;1. FC Kaiserslautern;1860 Munchen;3;0;2
29.09.2013;SV Sandhausen;VfL Bochum;1;0;2
29.09.2013;FC Ingolstadt 04;FC St. Pauli;1;2;2
30.09.2013;SpVgg Greuther Furth;Dynamo Dresden;4;0;2
04.10.2013;1. FC Union Berlin;SV Sandhausen;3;0;2
04.10.2013;FC St. Pauli;SC Paderborn 07;1;2;2
04.10.2013;Arminia Bielefeld;1. FC Kaiserslautern;0;3;2
05.10.2013;Dynamo Dresden;VfR Aalen;2;0;2
05.10.2013;Karlsruher SC;1. FC Koln;1;2;2
06.10.2013;FSV Frankfurt;Erzgebirge Aue;3;1;2
06.10.2013;1860 Munchen;Energie Cottbus;0;0;2
06.10.2013;VfL Bochum;FC Ingolstadt 04;0;1;2
07.10.2013;Fortuna Dusseldorf;SpVgg Greuther Furth;2;1;2
18.10.2013;Energie Cottbus;1. FC Union Berlin;0;0;2
18.10.2013;VfR Aalen;Arminia Bielefeld;3;0;2
18.10.2013;SC Paderborn 07;FSV Frankfurt;4;2;2
19.10.2013;SV Sandhausen;Dynamo Dresden;0;0;2
19.10.2013;Erzgebirge Aue;VfL Bochum;2;1;2
20.10.2013;SpVgg Greuther Furth;FC St. Pauli;2;4;2
20.10.2013;1. FC Kaiserslautern;Karlsruher SC;2;2;2
20.10.2013;FC Ingolstadt 04;Fortuna Dusseldorf;1;2;2
21.10.2013;1. FC Koln;1860 Munchen;0;0;2
25.10.2013;SpVgg Greuther Furth;FC Ingolstadt 04;0;1;2
25.10.2013;FC St. Pauli;SV Sandhausen;0;0;2
25.10.2013;Arminia Bielefeld;1. FC Koln;0;1;2
26.10.2013;Fortuna Dusseldorf;SC Paderborn 07;1;6;2
26.10.2013;FSV Frankfurt;VfR Aalen;0;0;2
27.10.2013;1. FC Union Berlin;Erzgebirge Aue;1;0;2
27.10.2013;Dynamo Dresden;Energie Cottbus;1;0;2
27.10.2013;Karlsruher SC;1860 Munchen;2;1;2
28.10.2013;VfL Bochum;1. FC Kaiserslautern;0;0;2
01.11.2013;Energie Cottbus;VfL Bochum;0;1;2
01.11.2013;VfR Aalen;Fortuna Dusseldorf;1;0;2
01.11.2013;SC Paderborn 07;FC Ingolstadt 04;1;1;2
02.11.2013;1. FC Kaiserslautern;FC St. Pauli;4;1;2
02.11.2013;Erzgebirge Aue;SpVgg Greuther Furth;2;6;2
03.11.2013;1860 Munchen;Dynamo Dresden;1;3;2
03.11.2013;SV Sandhausen;FSV Frankfurt;2;0;2
03.11.2013;Karlsruher SC;Arminia Bielefeld;3;1;2
04.11.2013;1. FC Koln;1. FC Union Berlin;4;0;2
